"Index" "new_variable_name" "old_variable_name"
376 "fbodyaccjerk_meanfreq_y" "fBodyAccJerk-meanFreq()-Y"
377 "fbodyaccjerk_meanfreq_z" "fBodyAccJerk-meanFreq()-Z"
378 "fbodyaccjerk_skewness_x" "fBodyAccJerk-skewness()-X"
379 "fbodyaccjerk_kurtosis_x" "fBodyAccJerk-kurtosis()-X"
380 "fbodyaccjerk_skewness_y" "fBodyAccJerk-skewness()-Y"
381 "fbodyaccjerk_kurtosis_y" "fBodyAccJerk-kurtosis()-Y"
382 "fbodyaccjerk_skewness_z" "fBodyAccJerk-skewness()-Z"
383 "fbodyaccjerk_kurtosis_z" "fBodyAccJerk-kurtosis()-Z"
384 "fbodyaccjerk_bandsenergy_1_8" "fBodyAccJerk-bandsEnergy()-1,8"
385 "fbodyaccjerk_bandsenergy_9_16" "fBodyAccJerk-bandsEnergy()-9,16"
386 "fbodyaccjerk_bandsenergy_17_24" "fBodyAccJerk-bandsEnergy()-17,24"
387 "fbodyaccjerk_bandsenergy_25_32" "fBodyAccJerk-bandsEnergy()-25,32"
388 "fbodyaccjerk_bandsenergy_33_40" "fBodyAccJerk-bandsEnergy()-33,40"
389 "fbodyaccjerk_bandsenergy_41_48" "fBodyAccJerk-bandsEnergy()-41,48"
390 "fbodyaccjerk_bandsenergy_49_56" "fBodyAccJerk-bandsEnergy()-49,56"
391 "fbodyaccjerk_bandsenergy_57_64" "fBodyAccJerk-bandsEnergy()-57,64"
392 "fbodyaccjerk_bandsenergy_1_16" "fBodyAccJerk-bandsEnergy()-1,16"
393 "fbodyaccjerk_bandsenergy_17_32" "fBodyAccJerk-bandsEnergy()-17,32"
394 "fbodyaccjerk_bandsenergy_33_48" "fBodyAccJerk-bandsEnergy()-33,48"
395 "fbodyaccjerk_bandsenergy_49_64" "fBodyAccJerk-bandsEnergy()-49,64"
396 "fbodyaccjerk_bandsenergy_1_24" "fBodyAccJerk-bandsEnergy()-1,24"
397 "fbodyaccjerk_bandsenergy_25_48" "fBodyAccJerk-bandsEnergy()-25,48"
398 "fbodyaccjerk_bandsenergy_1_8.1" "fBodyAccJerk-bandsEnergy()-1,8"
399 "fbodyaccjerk_bandsenergy_9_16.1" "fBodyAccJerk-bandsEnergy()-9,16"
400 "fbodyaccjerk_bandsenergy_17_24.1" "fBodyAccJerk-bandsEnergy()-17,24"
401 "fbodyaccjerk_bandsenergy_25_32.1" "fBodyAccJerk-bandsEnergy()-25,32"
402 "fbodyaccjerk_bandsenergy_33_40.1" "fBodyAccJerk-bandsEnergy()-33,40"
403 "fbodyaccjerk_bandsenergy_41_48.1" "fBodyAccJerk-bandsEnergy()-41,48"
404 "fbodyaccjerk_bandsenergy_49_56.1" "fBodyAccJerk-bandsEnergy()-49,56"
405 "fbodyaccjerk_bandsenergy_57_64.1" "fBodyAccJerk-bandsEnergy()-57,64"
406 "fbodyaccjerk_bandsenergy_1_16.1" "fBodyAccJerk-bandsEnergy()-1,16"
407 "fbodyaccjerk_bandsenergy_17_32.1" "fBodyAccJerk-bandsEnergy()-17,32"
408 "fbodyaccjerk_bandsenergy_33_48.1" "fBodyAccJerk-bandsEnergy()-33,48"
409 "fbodyaccjerk_bandsenergy_49_64.1" "fBodyAccJerk-bandsEnergy()-49,64"
410 "fbodyaccjerk_bandsenergy_1_24.1" "fBodyAccJerk-bandsEnergy()-1,24"
411 "fbodyaccjerk_bandsenergy_25_48.1" "fBodyAccJerk-bandsEnergy()-25,48"
412 "fbodyaccjerk_bandsenergy_1_8.2" "fBodyAccJerk-bandsEnergy()-1,8"
413 "fbodyaccjerk_bandsenergy_9_16.2" "fBodyAccJerk-bandsEnergy()-9,16"
414 "fbodyaccjerk_bandsenergy_17_24.2" "fBodyAccJerk-bandsEnergy()-17,24"
415 "fbodyaccjerk_bandsenergy_25_32.2" "fBodyAccJerk-bandsEnergy()-25,32"
416 "fbodyaccjerk_bandsenergy_33_40.2" "fBodyAccJerk-bandsEnergy()-33,40"
417 "fbodyaccjerk_bandsenergy_41_48.2" "fBodyAccJerk-bandsEnergy()-41,48"
418 "fbodyaccjerk_bandsenergy_49_56.2" "fBodyAccJerk-bandsEnergy()-49,56"
419 "fbodyaccjerk_bandsenergy_57_64.2" "fBodyAccJerk-bandsEnergy()-57,64"
420 "fbodyaccjerk_bandsenergy_1_16.2" "fBodyAccJerk-bandsEnergy()-1,16"
421 "fbodyaccjerk_bandsenergy_17_32.2" "fBodyAccJerk-bandsEnergy()-17,32"
422 "fbodyaccjerk_bandsenergy_33_48.2" "fBodyAccJerk-bandsEnergy()-33,48"
423 "fbodyaccjerk_bandsenergy_49_64.2" "fBodyAccJerk-bandsEnergy()-49,64"
424 "fbodyaccjerk_bandsenergy_1_24.2" "fBodyAccJerk-bandsEnergy()-1,24"
425 "fbodyaccjerk_bandsenergy_25_48.2" "fBodyAccJerk-bandsEnergy()-25,48"
426 "fbodygyro_mean_x" "fBodyGyro-mean()-X"
427 "fbodygyro_mean_y" "fBodyGyro-mean()-Y"
428 "fbodygyro_mean_z" "fBodyGyro-mean()-Z"
429 "fbodygyro_std_x" "fBodyGyro-std()-X"
430 "fbodygyro_std_y" "fBodyGyro-std()-Y"
431 "fbodygyro_std_z" "fBodyGyro-std()-Z"
432 "fbodygyro_mad_x" "fBodyGyro-mad()-X"
433 "fbodygyro_mad_y" "fBodyGyro-mad()-Y"
434 "fbodygyro_mad_z" "fBodyGyro-mad()-Z"
435 "fbodygyro_max_x" "fBodyGyro-max()-X"
436 "fbodygyro_max_y" "fBodyGyro-max()-Y"
437 "fbodygyro_max_z" "fBodyGyro-max()-Z"
438 "fbodygyro_min_x" "fBodyGyro-min()-X"
439 "fbodygyro_min_y" "fBodyGyro-min()-Y"
440 "fbodygyro_min_z" "fBodyGyro-min()-Z"
441 "fbodygyro_sma" "fBodyGyro-sma()"
442 "fbodygyro_energy_x" "fBodyGyro-energy()-X"
443 "fbodygyro_energy_y" "fBodyGyro-energy()-Y"
444 "fbodygyro_energy_z" "fBodyGyro-energy()-Z"
445 "fbodygyro_iqr_x" "fBodyGyro-iqr()-X"
446 "fbodygyro_iqr_y" "fBodyGyro-iqr()-Y"
447 "fbodygyro_iqr_z" "fBodyGyro-iqr()-Z"
448 "fbodygyro_entropy_x" "fBodyGyro-entropy()-X"
449 "fbodygyro_entropy_y" "fBodyGyro-entropy()-Y"
450 "fbodygyro_entropy_z" "fBodyGyro-entropy()-Z"
451 "fbodygyro_maxinds_x" "fBodyGyro-maxInds-X"
452 "fbodygyro_maxinds_y" "fBodyGyro-maxInds-Y"
453 "fbodygyro_maxinds_z" "fBodyGyro-maxInds-Z"
454 "fbodygyro_meanfreq_x" "fBodyGyro-meanFreq()-X"
455 "fbodygyro_meanfreq_y" "fBodyGyro-meanFreq()-Y"
456 "fbodygyro_meanfreq_z" "fBodyGyro-meanFreq()-Z"
457 "fbodygyro_skewness_x" "fBodyGyro-skewness()-X"
458 "fbodygyro_kurtosis_x" "fBodyGyro-kurtosis()-X"
459 "fbodygyro_skewness_y" "fBodyGyro-skewness()-Y"
460 "fbodygyro_kurtosis_y" "fBodyGyro-kurtosis()-Y"
461 "fbodygyro_skewness_z" "fBodyGyro-skewness()-Z"
462 "fbodygyro_kurtosis_z" "fBodyGyro-kurtosis()-Z"
463 "fbodygyro_bandsenergy_1_8" "fBodyGyro-bandsEnergy()-1,8"
464 "fbodygyro_bandsenergy_9_16" "fBodyGyro-bandsEnergy()-9,16"
465 "fbodygyro_bandsenergy_17_24" "fBodyGyro-bandsEnergy()-17,24"
466 "fbodygyro_bandsenergy_25_32" "fBodyGyro-bandsEnergy()-25,32"
467 "fbodygyro_bandsenergy_33_40" "fBodyGyro-bandsEnergy()-33,40"
468 "fbodygyro_bandsenergy_41_48" "fBodyGyro-bandsEnergy()-41,48"
469 "fbodygyro_bandsenergy_49_56" "fBodyGyro-bandsEnergy()-49,56"
470 "fbodygyro_bandsenergy_57_64" "fBodyGyro-bandsEnergy()-57,64"
471 "fbodygyro_bandsenergy_1_16" "fBodyGyro-bandsEnergy()-1,16"
472 "fbodygyro_bandsenergy_17_32" "fBodyGyro-bandsEnergy()-17,32"
473 "fbodygyro_bandsenergy_33_48" "fBodyGyro-bandsEnergy()-33,48"
474 "fbodygyro_bandsenergy_49_64" "fBodyGyro-bandsEnergy()-49,64"
475 "fbodygyro_bandsenergy_1_24" "fBodyGyro-bandsEnergy()-1,24"
476 "fbodygyro_bandsenergy_25_48" "fBodyGyro-bandsEnergy()-25,48"
477 "fbodygyro_bandsenergy_1_8.1" "fBodyGyro-bandsEnergy()-1,8"
478 "fbodygyro_bandsenergy_9_16.1" "fBodyGyro-bandsEnergy()-9,16"
479 "fbodygyro_bandsenergy_17_24.1" "fBodyGyro-bandsEnergy()-17,24"
480 "fbodygyro_bandsenergy_25_32.1" "fBodyGyro-bandsEnergy()-25,32"
481 "fbodygyro_bandsenergy_33_40.1" "fBodyGyro-bandsEnergy()-33,40"
482 "fbodygyro_bandsenergy_41_48.1" "fBodyGyro-bandsEnergy()-41,48"
483 "fbodygyro_bandsenergy_49_56.1" "fBodyGyro-bandsEnergy()-49,56"
484 "fbodygyro_bandsenergy_57_64.1" "fBodyGyro-bandsEnergy()-57,64"
485 "fbodygyro_bandsenergy_1_16.1" "fBodyGyro-bandsEnergy()-1,16"
486 "fbodygyro_bandsenergy_17_32.1" "fBodyGyro-bandsEnergy()-17,32"
487 "fbodygyro_bandsenergy_33_48.1" "fBodyGyro-bandsEnergy()-33,48"
488 "fbodygyro_bandsenergy_49_64.1" "fBodyGyro-bandsEnergy()-49,64"
489 "fbodygyro_bandsenergy_1_24.1" "fBodyGyro-bandsEnergy()-1,24"
490 "fbodygyro_bandsenergy_25_48.1" "fBodyGyro-bandsEnergy()-25,48"
491 "fbodygyro_bandsenergy_1_8.2" "fBodyGyro-bandsEnergy()-1,8"
492 "fbodygyro_bandsenergy_9_16.2" "fBodyGyro-bandsEnergy()-9,16"
493 "fbodygyro_bandsenergy_17_24.2" "fBodyGyro-bandsEnergy()-17,24"
494 "fbodygyro_bandsenergy_25_32.2" "fBodyGyro-bandsEnergy()-25,32"
495 "fbodygyro_bandsenergy_33_40.2" "fBodyGyro-bandsEnergy()-33,40"
496 "fbodygyro_bandsenergy_41_48.2" "fBodyGyro-bandsEnergy()-41,48"
497 "fbodygyro_bandsenergy_49_56.2" "fBodyGyro-bandsEnergy()-49,56"
498 "fbodygyro_bandsenergy_57_64.2" "fBodyGyro-bandsEnergy()-57,64"
499 "fbodygyro_bandsenergy_1_16.2" "fBodyGyro-bandsEnergy()-1,16"
500 "fbodygyro_bandsenergy_17_32.2" "fBodyGyro-bandsEnergy()-17,32"
501 "fbodygyro_bandsenergy_33_48.2" "fBodyGyro-bandsEnergy()-33,48"
502 "fbodygyro_bandsenergy_49_64.2" "fBodyGyro-bandsEnergy()-49,64"
503 "fbodygyro_bandsenergy_1_24.2" "fBodyGyro-bandsEnergy()-1,24"
504 "fbodygyro_bandsenergy_25_48.2" "fBodyGyro-bandsEnergy()-25,48"
505 "fbodyaccmag_mean" "fBodyAccMag-mean()"
506 "fbodyaccmag_std" "fBodyAccMag-std()"
507 "fbodyaccmag_mad" "fBodyAccMag-mad()"
508 "fbodyaccmag_max" "fBodyAccMag-max()"
509 "fbodyaccmag_min" "fBodyAccMag-min()"
510 "fbodyaccmag_sma" "fBodyAccMag-sma()"
511 "fbodyaccmag_energy" "fBodyAccMag-energy()"
512 "fbodyaccmag_iqr" "fBodyAccMag-iqr()"
513 "fbodyaccmag_entropy" "fBodyAccMag-entropy()"
514 "fbodyaccmag_maxinds" "fBodyAccMag-maxInds"
515 "fbodyaccmag_meanfreq" "fBodyAccMag-meanFreq()"
516 "fbodyaccmag_skewness" "fBodyAccMag-skewness()"
517 "fbodyaccmag_kurtosis" "fBodyAccMag-kurtosis()"
518 "fbodybodyaccjerkmag_mean" "fBodyBodyAccJerkMag-mean()"
519 "fbodybodyaccjerkmag_std" "fBodyBodyAccJerkMag-std()"
520 "fbodybodyaccjerkmag_mad" "fBodyBodyAccJerkMag-mad()"
521 "fbodybodyaccjerkmag_max" "fBodyBodyAccJerkMag-max()"
522 "fbodybodyaccjerkmag_min" "fBodyBodyAccJerkMag-min()"
523 "fbodybodyaccjerkmag_sma" "fBodyBodyAccJerkMag-sma()"
524 "fbodybodyaccjerkmag_energy" "fBodyBodyAccJerkMag-energy()"
525 "fbodybodyaccjerkmag_iqr" "fBodyBodyAccJerkMag-iqr()"
526 "fbodybodyaccjerkmag_entropy" "fBodyBodyAccJerkMag-entropy()"
527 "fbodybodyaccjerkmag_maxinds" "fBodyBodyAccJerkMag-maxInds"
528 "fbodybodyaccjerkmag_meanfreq" "fBodyBodyAccJerkMag-meanFreq()"
529 "fbodybodyaccjerkmag_skewness" "fBodyBodyAccJerkMag-skewness()"
530 "fbodybodyaccjerkmag_kurtosis" "fBodyBodyAccJerkMag-kurtosis()"
531 "fbodybodygyromag_mean" "fBodyBodyGyroMag-mean()"
532 "fbodybodygyromag_std" "fBodyBodyGyroMag-std()"
533 "fbodybodygyromag_mad" "fBodyBodyGyroMag-mad()"
534 "fbodybodygyromag_max" "fBodyBodyGyroMag-max()"
535 "fbodybodygyromag_min" "fBodyBodyGyroMag-min()"
536 "fbodybodygyromag_sma" "fBodyBodyGyroMag-sma()"
537 "fbodybodygyromag_energy" "fBodyBodyGyroMag-energy()"
538 "fbodybodygyromag_iqr" "fBodyBodyGyroMag-iqr()"
539 "fbodybodygyromag_entropy" "fBodyBodyGyroMag-entropy()"
540 "fbodybodygyromag_maxinds" "fBodyBodyGyroMag-maxInds"
541 "fbodybodygyromag_meanfreq" "fBodyBodyGyroMag-meanFreq()"
542 "fbodybodygyromag_skewness" "fBodyBodyGyroMag-skewness()"
543 "fbodybodygyromag_kurtosis" "fBodyBodyGyroMag-kurtosis()"
544 "fbodybodygyrojerkmag_mean" "fBodyBodyGyroJerkMag-mean()"
545 "fbodybodygyrojerkmag_std" "fBodyBodyGyroJerkMag-std()"
546 "fbodybodygyrojerkmag_mad" "fBodyBodyGyroJerkMag-mad()"
547 "fbodybodygyrojerkmag_max" "fBodyBodyGyroJerkMag-max()"
548 "fbodybodygyrojerkmag_min" "fBodyBodyGyroJerkMag-min()"
549 "fbodybodygyrojerkmag_sma" "fBodyBodyGyroJerkMag-sma()"
550 "fbodybodygyrojerkmag_energy" "fBodyBodyGyroJerkMag-energy()"
551 "fbodybodygyrojerkmag_iqr" "fBodyBodyGyroJerkMag-iqr()"
552 "fbodybodygyrojerkmag_entropy" "fBodyBodyGyroJerkMag-entropy()"
553 "fbodybodygyrojerkmag_maxinds" "fBodyBodyGyroJerkMag-maxInds"
554 "fbodybodygyrojerkmag_meanfreq" "fBodyBodyGyroJerkMag-meanFreq()"
555 "fbodybodygyrojerkmag_skewness" "fBodyBodyGyroJerkMag-skewness()"
556 "fbodybodygyrojerkmag_kurtosis" "fBodyBodyGyroJerkMag-kurtosis()"
557 "angle_tbodyaccmean_gravity" "angle(tBodyAccMean,gravity)"
558 "angle_tbodyaccjerkmean_gravitymean" "angle(tBodyAccJerkMean),gravityMean)"
559 "angle_tbodygyromean_gravitymean" "angle(tBodyGyroMean,gravityMean)"
560 "angle_tbodygyrojerkmean_gravitymean" "angle(tBodyGyroJerkMean,gravityMean)"
561 "angle_x_gravitymean" "angle(X,gravityMean)"
562 "angle_y_gravitymean" "angle(Y,gravityMean)"
563 "angle_z_gravitymean" "angle(Z,gravityMean)"
564 "activity_txt" "activity description"
